movie_name,month,year,ratings,user_vote,genres,country
Alvin and the Chipmunks,12.0,2007.0,5.2,95000,,
Alvin and the Chipmunks: Chipwrecked,12.0,2011.0,4.4,40000,,
Alvin and the Chipmunks: The Road Chip,12.0,2015.0,4.9,23000,,
Alvin and the Chipmunks: The Squeakquel,12.0,2009.0,4.5,55000,,
Amelia,10.0,2009.0,5.8,14000,,
America's Sweethearts,7.0,2001.0,5.7,60000,,
American Assassin,9.0,2017.0,6.2,91000,,
American Dreamz,4.0,2006.0,5.5,25000,,
American Gangster,11.0,2007.0,7.8,453000,,
American Hustle,12.0,2013.0,7.2,501000,,
American Made,9.0,2017.0,7.1,209000,,
American Outlaws,8.0,2001.0,5.9,18000,,
American Pie 2,8.0,2001.0,6.4,270000,,
American Psycho,10.0,2020.0,7.4,73,Crime Drama,
American Reunion,4.0,2012.0,6.7,224000,,
American Sniper,12.0,2014.0,7.3,530000,,
American Splendor,8.0,2003.0,7.4,52000,,
American Ultra,8.0,2015.0,6.1,96000,,
American Wedding,8.0,2003.0,6.3,217000,,
Amigo,8.0,2011.0,6.4,667,,United States Philippines
Amores Perros,3.0,2001.0,8.1,253000,,
Amour,12.0,2012.0,7.9,106000,,
Am�lie,11.0,2001.0,8.3,795000,,France Germany
An American Carol,10.0,2008.0,4.0,10000,,
An American Haunting,5.0,2006.0,5.0,27000,,
An Education,10.0,2009.0,7.3,138000,,
An Everlasting Piece,12.0,2000.0,6.2,17000,,United States
An Inconvenient Sequel,8.0,2017.0,,,,
An Inconvenient Sequel: Truth to Power,7.0,2017.0,6.6,84000,,United States
An Inconvenient Truth,5.0,2006.0,7.4,85000,,
An Unfinished Life,9.0,2005.0,7.0,34000,,
Anacondas: The Hunt for the Blood Orchid,8.0,2004.0,4.7,34000,,
Analyze That,12.0,2002.0,5.9,90000,,
Anchorman 2: The Legend Continues,2.0,2014.0,6.3,192000,,
Anchorman: The Legend of Ron Burgundy,7.0,2004.0,7.1,379000,,
And So It Goes,7.0,2014.0,5.9,15000,,
Angel Eyes,5.0,2001.0,5.7,26000,,
Angel Has Fallen,8.0,2019.0,6.4,111000,,
Angels & Demons,5.0,2009.0,6.7,310000,,
Anger Management,4.0,2003.0,6.2,229000,,
Animal Kingdom,8.0,2010.0,7.2,61000,,
Anna,6.0,2019.0,6.6,95000,,
Anna Karenina,11.0,2012.0,6.6,107000,,
Annabelle,10.0,2014.0,5.4,176000,,
Annabelle Comes Home,6.0,2019.0,5.9,87000,,
Annabelle: Creation,8.0,2017.0,6.5,151000,,
Annie,12.0,2014.0,5.3,41000,,
Annihilation,2.0,2018.0,6.8,362000,,
Anomalisa,12.0,2015.0,7.2,75000,,
Anonymous,10.0,2011.0,6.8,42000,,
Another Year,12.0,2010.0,7.4,31000,,
Ant-Man,7.0,2015.0,7.2,723000,,
Ant-Man and the Wasp,7.0,2018.0,7.0,451000,,
Ant-Man and the Wasp: Quantumania,2.0,2023.0,6.1,229000,,
Antitrust,1.0,2001.0,6.1,30000,,United States
Antwone Fisher,12.0,2002.0,7.3,38000,,
Anyone But You,12.0,2023.0,6.1,81000,Comedy Romance,
Anything Else,9.0,2003.0,6.3,33000,,United States France United Kingdom
Apocalypto,12.0,2006.0,7.8,332000,,
Apollo 18,9.0,2011.0,5.2,58000,,
Appaloosa,9.0,2008.0,6.7,65000,,
Aqua Teen Hunger Force Colon Movie Film for Theaters,4.0,2007.0,6.7,14000,,
Aquaman,12.0,2018.0,6.8,521000,,
