movie_name,month,year,sequel
A Star Is Born,10,2018,0
A Thousand Words,3,2012,0
A Very Harold & Kumar Christmas,11,2011,1
A Very Long Engagement,11,2004,0
A Walk Among the Tombstones,9,2014,0
A Walk in the Woods,9,2015,0
A Walk to Remember,1,2002,0
A Wrinkle in Time,3,2018,0
A.I. Artificial Intelligence,6,2001,0
ATL,3,2006,0
Abandon,10,2002,0
Abduction,9,2011,0
Abominable,9,2019,0
About Last Night,2,2014,0
About Schmidt,12,2002,0
About Time,9,2013,0
About a Boy,5,2002,0
Abraham Lincoln: Vampire Hunter,6,2012,0
Accepted,8,2006,0
Acrimony,3,2018,0
Across the Universe,9,2007,0
Act of Valor,2,2012,0
Action Point,6,2018,0
Ad Astra,9,2019,0
Adaptation.,12,2002,0
Addicted,10,2014,0
Admission,3,2013,0
Adrift,6,2018,0
Adventureland,4,2009,0
After,4,2019,0
After Earth,5,2013,0
After the Sunset,11,2004,0
Against the Ropes,2,2004,0
Agent Cody Banks,3,2003,0
Agent Cody Banks 2: Destination London,3,2004,0
Akeelah and the Bee,4,2006,0
Aladdin,5,2019,0
Alex & Emma,6,2003,0
Alex Cross,10,2012,0
Alexander,11,2004,0
Alexander and the Terrible Horrible No Good Very Bad Day,10,2014,0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10,2014,0
Alfie,11,2004,0
Ali,12,2001,0
Alice Through the Looking Glass,5,2016,1
Alice in Wonderland,3,2010,0
Alien vs. Predator,8,2004,0
Alien: Covenant,5,2017,1
Aliens in the Attic,7,2009,0
Alita: Battle Angel,2,2019,0
All About Steve,9,2009,0
All About the Benjamins,3,2002,0
All Eyez on Me,6,2017,0
All Saints,8,2017,0
All or Nothing,10,2002,0
All the King's Men,9,2006,0
All the Money in the World,12,2017,0
All the Pretty Horses,12,2000,0
Allied,11,2016,0
Almost Christmas,11,2016,0
Almost Famous,9,2000,0
Aloha,5,2015,0
Alone in the Dark,1,2005,0
Along Came Polly,1,2004,0
Along Came a Spider,4,2001,0
Alpha,8,2018,0
Alpha and Omega,9,2010,0
Alvin and the Chipmunks,12,2007,0
Alvin and the Chipmunks: Chipwrecked,12,2011,1
Alvin and the Chipmunks: The Road Chip,12,2015,0
Alvin and the Chipmunks: The Squeakquel,12,2009,0
Amelia,10,2009,0
America's Sweethearts,7,2001,0
American Assassin,9,2017,0
American Dreamz,4,2006,0
American Gangster,11,2007,0
American Hustle,12,2013,0
American Made,9,2017,0
American Outlaws,8,2001,0
American Pie 2,8,2001,0
American Psycho,10,2020,0
American Reunion,4,2012,1
American Sniper,12,2014,0
American Splendor,8,2003,0
American Ultra,8,2015,0
American Wedding,8,2003,0
Amour,12,2012,0
Am�lie,11,2001,0
An American Carol,10,2008,0
An Education,10,2009,0
An Everlasting Piece,12,2000,0
An Inconvenient Sequel: Truth to Power,7,2017,0
An Inconvenient Truth,5,2006,0
An Unfinished Life,9,2005,0
Anacondas: The Hunt for the Blood Orchid,8,2004,0
Analyze That,12,2002,0
Anchorman: The Legend of Ron Burgundy,7,2004,0
And So It Goes,7,2014,0
Angel Eyes,5,2001,0
Angel Has Fallen,8,2019,1
Angels & Demons,5,2009,0
Anger Management,4,2003,0
Animal Kingdom,8,2010,0
Anna,6,2019,0
Anna Karenina,11,2012,0
Annabelle,10,2014,0
Annabelle Comes Home,6,2019,0
Annabelle: Creation,8,2017,0
Annie,12,2014,0
Annihilation,2,2018,0
Anomalisa,12,2015,0
Anonymous,10,2011,0
Another Year,12,2010,0
Ant-Man,7,2015,0
Ant-Man and the Wasp,7,2018,1
Ant-Man and the Wasp: Quantumania,2,2023,1
Antitrust,1,2001,0
Antwone Fisher,12,2002,0
Anyone But You,12,2023,0
Anything Else,9,2003,0
Apocalypto,12,2006,0
Apollo 18,9,2011,0
Appaloosa,9,2008,0
Aqua Teen Hunger Force Colon Movie Film for Theaters,4,2007,0
Aquaman,12,2018,0
Aquaman and the Lost Kingdom,12,2023,1
Aquamarine,3,2006,0
Ararat,11,2002,0
Arbitrage,9,2012,0
Arctic Dogs,11,2019,0
Are We There Yet?,1,2005,0
Argo,10,2012,0
Argylle,1,2024,0
Armored,12,2009,0
Around the World in 80 Days,6,2004,0
Arrival,11,2016,0
Arthur,4,2011,0
Arthur Christmas,11,2011,0
"As Above, So Below",8,2014,0
Assassin's Creed,12,2016,0
Assault on Precinct 13,1,2005,0
Astro Boy,10,2009,0
Atlantis: The Lost Empire,6,2001,0
Atlas Shrugged: Part I,4,2011,0
Atomic Blonde,7,2017,0
Atonement,12,2007,0
Attack the Block,7,2011,0
August Rush,11,2007,0
August: Osage County,12,2013,0
Austin Powers in Goldmember,7,2002,0
Australia,11,2008,0
Autumn in New York,8,2000,0
Avatar,12,2009,0
Avengers: Age of Ultron,5,2015,1
Avengers: Endgame,4,2019,1
Avengers: Infinity War,4,2018,0
Awake,11,2007,0
Away We Go,6,2009,0
Babel,10,2006,0
Baby Boy,6,2001,0
Baby Driver,6,2017,0
Baby Mama,4,2008,0
Babylon A.D.,8,2008,0
Bachelorette,9,2012,0
Bad Boys II,7,2003,1
Bad Company,6,2002,0
Bad Education,11,2004,0
Bad Lieutenant: Port of Call New Orleans,11,2009,0
Bad Moms,7,2016,0
Bad News Bears,7,2005,0
Bad Santa,11,2003,0
Bad Santa 2,11,2016,0
Bad Teacher,6,2011,0
Bad Times at the El Royale,10,2018,0
Bad Words,3,2014,0
Baggage Claim,9,2013,0
Bait,9,2000,0
Ballistic: Ecks vs. Sever,9,2002,0
Bandits,10,2001,0
Bandslam,8,2009,0
Bangkok Dangerous,9,2008,0
Barbershop,9,2002,0
Barbershop 2: Back in Business,2,2004,0
Barbershop: The Next Cut,4,2016,1
Barbie,7,2023,0
Barnyard,8,2006,0
Basic,3,2003,0
Basic Instinct 2,3,2006,0
Batman Begins,6,2005,0
Batman v Superman: Dawn of Justice,3,2016,0
Battle Los Angeles,3,2011,0
Battle of the Sexes,9,2017,0
Battle of the Year,9,2013,0
Battleship,5,2012,0
Baywatch,5,2017,0
Be Cool,3,2005,0
Be Kind Rewind,2,2008,0
Beastly,3,2011,0
Beasts of the Southern Wild,6,2012,0
Beautiful Boy,10,2018,0
Beautiful Creatures,2,2013,0
Beauty Shop,3,2005,0
Beauty and the Beast,3,2017,0
Because I Said So,2,2007,0
Because of Winn-Dixie,2,2005,0
Becoming Jane,8,2007,0
Bedazzled,10,2000,0
