movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Ladrones,10,2015,None,97,Comedy,PG-13,375,1411031,3063505,440909,3504414,
Learning to Drive,8,2015,None,90,Comedy Drama Romance,R,339,66015,3447633,2519883,5967516,
Trainwreck,7,2015,35000000,125,Comedy Drama Romance,R,3,171,30097040,110212700,30583093,140795793,
Rock the Kasbah,10,2015,None,106,Comedy Music War,R,2,012,1470592,3020664,373510,3394174,
Captive,9,2015,None,97,Action Biography Crime Drama History Thriller,PG-13,807,1393243,2583301,218207,2801508,
Scouts Guide to the Zombie Apocalypse,10,2015,15000000,93,Action Comedy Horror,R,1,509,1841007,3703046,12434000,16137046,
Pawn Sacrifice,9,2015,None,115,Biography Drama History Sport Thriller,PG-13,781,202053,2436633,3141886,5578519,
He Named Me Malala,10,2015,None,88,Biography Documentary,PG-13,477,61808,2668936,764670,3433606,
Jem and the Holograms,10,2015,5000000,118,Adventure Drama Family Fantasy Music Romance Sci-Fi,PG,2,417,1375320,2184640,149044,2333684,
Hitman: Agent 47,8,2015,35000000,96,Action Adventure Crime Mystery Thriller,R,3,273,8326530,22467450,59880206,82347656,
Journey to the South Pacific,11,2013,None,40,Documentary Short,G,19,8137,7653913,7340963,14994876,
Vacation,7,2015,31000000,99,Adventure Comedy,R,3,430,14681108,58884188,48344033,107228221,
Under the Sea 3D,2,2009,None,41,Documentary Short,None,108,661185,36262926,19639698,55902624,
Back To The Future Day,10,2015,None,342,None,None,1,815,None,1650000,3200000,4850000,
Truth,10,2015,None,125,Biography Drama History Thriller,R,1,122,66232,2541854,2841243,5383097,
Meet the Patels,9,2015,None,88,Animation Comedy Documentary Romance,PG,101,72180,1700681,None,1700681,
99 Homes,9,2015,8000000,112,Crime Drama,R,691,32253,1411927,416305,1828232,
Fantastic Four,8,2015,120000000,100,Action Adventure Sci-Fi,PG-13,4,004,25685737,56117548,111765333,167882881,
Lost in Hong Kong,9,2015,None,114,Action Adventure Comedy Crime Family Romance Thriller,None,34,537736,1302281,254981631,256283912,
Shaun the Sheep Movie,8,2015,None,85,Adventure Animation Comedy Family Fantasy,PG,2,360,4038962,19375982,86833396,106209378,
Goodbye Mr. Loser,10,2015,None,104,Comedy Drama Fantasy Romance,None,40,363949,1293626,226829302,228122928,
Ricki and the Flash,8,2015,18000000,101,Comedy Drama Music,PG-13,2,064,6610961,26822144,14503184,41325328,
Veteran,9,2015,None,123,Action Comedy Crime Thriller,None,46,371754,1200627,93192393,94393020,
Phoenix,7,2015,None,98,Drama History Music Romance,PG-13,197,30296,3184472,2671151,5855623,
Meru,8,2015,None,90,Documentary Sport,R,176,91279,2334228,None,2334228,
Southpaw,7,2015,30000000,124,Action Drama Sport,R,2,772,16701294,52421953,39548874,91970827,
Goodnight Mommy,9,2015,None,99,Horror Mystery Thriller,R,90,63641,1178196,1015278,2193474,
American Ultra,8,2015,28000000,96,Action Comedy,R,2,778,5454284,14440985,12821389,27262374,
Space Station 3D,4,2002,None,47,Documentary,None,64,489488,93383953,34979928,128363881,
Room,10,2015,None,118,Drama Thriller,R,862,118298,14677654,20724104,35401758,
Singh Is Bliing,10,2015,None,141,Action Comedy Romance,None,135,487040,919095,19305756,20224851,
Mr. Holmes,7,2015,None,104,Crime Drama Family Mystery Thriller,PG,898,2434908,17737646,11617557,29355203,
Big Stone Gap,10,2015,None,103,Comedy Family Mystery Romance,PG-13,280,362422,1009301,3503,1012804,
Avengers: Age of Ultron,5,2015,250000000,141,Action Adventure Sci-Fi,PG-13,4,276,191271109,459005868,943800000,1402805868,
Sleeping with Other People,9,2015,None,101,Comedy Drama Romance,R,392,89102,819431,2405516,3224947,
Welcome Back,9,2015,None,152,Action Comedy Crime Drama,None,135,714235,1388365,20387329,21775694,
Mistress America,8,2015,None,84,Comedy Drama,R,512,93206,2500431,840306,3340737,
Boruto: Naruto the Movie,10,2015,None,95,Action Adventure Animation Comedy Fantasy,None,358,380419,919651,37442797,38362448,
San Andreas,5,2015,110000000,114,Action Adventure Thriller,PG-13,3,812,54588173,155190832,319400000,474590832,
Born to Be Wild,4,2011,None,40,Adventure Documentary Short,None,208,871478,25978556,15665919,41644475,
Shaandaar,10,2015,None,144,Comedy Drama Romance,None,136,384685,521794,13599014,14120808,
Freeheld,10,2015,None,103,Biography Drama Romance,PG-13,148,37983,546201,901136,1447337,
Mad Max: Fury Road,5,2015,150000000,120,Action Adventure Sci-Fi Thriller,R,3,722,45428128,153636354,225800000,379436354,
Labyrinth of Lies,9,2015,None,124,Drama History,R,72,22101,794452,3780304,4574756,
Max,6,2015,20000000,111,Adventure Drama Family War,PG,2,870,12155254,42656255,1300000,43956255,
Attack on Titan Part 1,9,2015,None,98,Action Adventure Drama Fantasy Horror,None,290,23829,449523,30361135,30810658,
The Black Panthers: Vanguard of the Revolution,9,2015,None,115,Documentary History,None,12,20215,516893,67216,584109,
Once I Was a Beehive,8,2015,None,119,Comedy Drama Family,PG,32,48409,732655,None,732655,
The End of the Tour,7,2015,None,106,Biography Drama,R,355,123238,3002884,70107,3072991,
Steve Jobs: The Man in the Machine,9,2015,None,128,Biography Documentary,R,68,140064,494506,None,494506,
