movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
45 Years,12,2015,None,95,Drama Romance,R,251,65775,4247285,10182964,14430249,
Dirty Grandpa,1,2016,25000000,102,Comedy,R,2,912,11111875,35593113,58479915,94073028,
Dough,2,2016,None,94,Comedy Drama,None,55,50871,1148304,499125,1647429,
Baaghi,4,2016,None,133,Action Romance Thriller,None,78,237215,438207,238395,676602,
Only Yesterday,1,2016,None,119,Animation Drama Romance,PG,44,14970,453243,72715,525958,
The Lobster,3,2016,None,119,Drama Romance Sci-Fi Thriller,R,15,None,376871,6279835,6656706,
My Golden Days,3,2016,None,123,Drama Romance,R,32,26847,269144,1240629,1509773,
April and the Extraordinary World,3,2016,None,105,Adventure Animation Comedy Drama Family Fantasy Mystery Sci-Fi,PG,35,11413,295488,200391,495879,
Neerja,2,2016,None,122,Biography Drama Thriller,None,121,626528,1585687,16032593,17618280,
Fifty Shades of Black,1,2016,None,92,Comedy,R,2,075,5900528,11686940,10540574,22227514,
The Invitation,4,2016,None,100,Drama Horror Mystery Thriller,None,31,67877,231737,123098,354835,
Spectre,11,2015,245000000,148,Action Adventure Thriller,PG-13,3,929,70403148,200074609,680600000,880674609,
Norm of the North,1,2016,None,88,Adventure Animation Comedy Family,PG,2,411,6844137,17062499,13672003,30734502,
Vaxxed: From Cover-Up to Catastrophe,4,2016,None,91,Documentary,None,95,28339,1163265,None,1163265,
The Clan,3,2016,None,108,Biography Crime Drama Thriller,R,19,12519,201227,20180768,20381995,
Francofonia,4,2016,None,88,Drama History,None,25,22083,307040,701114,1008154,
The Wave,3,2016,None,105,Action Drama Thriller,R,37,60321,177404,12797739,12975143,
Find a Boyfriend for My Wife... PLEASE!,2,2016,None,92,Comedy Romance,PG-13,357,902457,1741889,2828868,4570757,
Born to Be Blue,3,2016,None,97,Biography Drama Music Romance,R,23,14069,151926,None,151926,
Carol,11,2015,None,118,Drama Romance,R,790,253510,12711491,27560644,40272135,
Psycho-Pass: The Movie,3,2016,None,113,Action Animation Crime Sci-Fi Thriller,None,161,None,138366,None,138366,
Louder Than Bombs,4,2016,None,109,Drama,R,40,24259,163807,996917,1160724,
Krisha,3,2016,None,83,Drama,R,26,9880,144822,None,144822,
Under the Sea 3D,2,2009,None,41,Documentary Short,None,108,661185,36262926,19639698,55902624,
Spirits' Homecoming,3,2016,None,127,Drama,None,17,10012,125616,23731601,23857217,
Mustang,11,2015,None,97,Drama,PG-13,57,20321,845464,4429200,5274664,
The Man Who Knew Infinity,4,2016,None,108,Biography Drama,PG-13,288,80325,3866794,8385890,12252684,
Concussion,12,2015,35000000,123,Biography Drama Sport,PG-13,2,841,10513749,34542474,14081098,48623572,
New York, New York,4,2016,None,106,Drama,None,16,42239,92377,1452975,1545352,
The Oscar Nominated Short Films 2016: Live Action,1,2016,None,141,Drama,None,260,559502,2816816,34024,2850840,
The Forest,1,2016,10000000,93,Horror Mystery Thriller,PG-13,2,509,12741176,26594261,13117739,39712000,
Requiem for the American Dream,1,2016,None,73,Biography Documentary News,None,14,None,130152,None,130152,
The Danish Girl,11,2015,None,119,Biography Crime Drama,R,794,187318,11114018,53077505,64191523,
Colliding Dreams,3,2016,None,134,Documentary History,None,14,16438,78288,None,78288,
Rams,2,2016,None,93,Drama,R,10,13289,149250,1677333,1826583,
Born to Be Wild,4,2011,None,40,Adventure Documentary Short,None,208,871478,25978556,15665919,41644475,
Sweet 20,3,2016,None,127,Comedy Music,None,6,24715,71775,3738654,3810429,
Island of Lemurs: Madagascar,4,2014,None,39,Adventure Biography Documentary Family Short,None,302,188307,11272213,2794321,14066534,
Viva,4,2016,None,100,Drama,R,17,48995,178008,245968,423976,
Joy,12,2015,60000000,124,Biography Drama,PG-13,2,924,17015168,56451232,44682827,101134059,
The Dark Horse,4,2016,None,124,Biography Drama,R,10,8152,67533,1794581,1862114,
Trapped,3,2016,None,90,Documentary,None,8,17626,63241,None,63241,
Los Sures,4,2016,None,57,Documentary,None,2,26088,83992,None,83992,
Creative Control,3,2016,None,97,Drama Sci-Fi,R,72,6964,63014,None,63014,
Vita Activa: The Spirit of Hannah Arendt,4,2016,None,125,Documentary,None,4,13244,82143,24625,106768,
Fireworks Wednesday,3,2016,None,102,Drama Mystery Romance Thriller,None,5,6132,90519,None,90519,
The Measure of a Man,4,2016,None,91,Drama,None,6,10011,112391,6406540,6518931,
The Messenger,12,2015,None,89,Documentary Family,None,9,None,67816,None,67816,
Time Renegades,4,2016,None,107,Action Drama Fantasy Romance Thriller,None,11,6068,59425,8252936,8312361,
Dongju: The Portrait of a Poet,4,2016,None,110,Biography Drama,None,5,17724,56550,7752981,7809531,
Too Late,3,2016,None,107,Crime Drama Mystery,None,7,7000,60438,None,60438,
The Peanuts Movie,11,2015,99000000,88,Adventure Animation Comedy Drama Family,G,3,902,44213073,130178411,116054702,246233113,
High Strung,4,2016,None,96,Drama Music Romance,PG,100,40708,53447,2031004,2084451,
Cemetery of Splendor,3,2016,None,122,Drama Fantasy Mystery,None,6,7780,51950,46982,98932,
Sweet Bean,3,2016,None,113,Drama,None,6,4630,124800,4595210,4720010,
Mountains May Depart,2,2016,None,126,Drama Romance,None,12,5550,82913,5127247,5210160,
King Georges,2,2016,None,77,Biography Documentary,None,10,15031,66175,None,66175,
Sisters,12,2015,30000000,118,Comedy,R,2,978,13922855,87044645,17966408,105011053,
Sold,4,2016,None,94,Drama,PG-13,9,5070,57527,None,57527,
Hockney,4,2016,None,112,Documentary,None,10,13683,120745,None,120745,
The Martian,10,2015,108000000,144,Adventure Drama Sci-Fi,PG-13,3,854,54308575,228433663,401728227,630161890,
Catching the Sun,4,2016,None,75,Documentary Drama History News,None,14,None,38613,None,38613,
Tale of Tales,4,2016,None,134,Drama Fantasy Horror,R,15,8871,118925,5378179,5497104,
Mr. Right,4,2016,None,95,Action Comedy Romance,R,35,25369,34694,572901,607595,
A War,2,2016,None,115,Crime Drama Thriller War,R,30,9095,122902,991761,1114663,
Our Last Tango,4,2016,None,85,Documentary Musical,None,6,6550,100086,405799,505885,
Ran,2,2016,11500000,160,Action Drama War,None,5,11462,66097,18692,84789,
Songs My Brothers Taught Me,3,2016,None,98,Drama,None,5,3430,34793,112144,146937,
The Dog Wedding,3,2016,None,96,Comedy Romance,PG-13,2,12132,29495,None,29495,
Eva Hesse,4,2016,None,108,Biography Documentary History,None,7,12780,157481,None,157481,
Valley of Love,3,2016,None,91,Drama Fantasy,None,5,9849,28648,1235629,1264277,
Papa,3,2016,None,106,Comedy Drama Family,None,20,14644,26677,1329356,1356033,
Take Me to the River,3,2016,None,84,Drama,None,11,1509,28041,None,28041,
Standing Tall,4,2016,None,120,Drama,R,6,7488,26144,4296976,4323120,
To the Arctic 3D,4,2012,None,40,Documentary Short,G,52,270228,14560838,9134550,23695388,
The Monkey King 2,2,2016,None,119,Action Adventure Fantasy,None,38,166391,709982,192968316,193678298,
Bridge of Spies,10,2015,40000000,142,Drama History Thriller War,PG-13,2,873,15371203,72313754,93164594,165478348,
A Bigger Splash,5,2016,None,125,Drama Music Thriller,R,378,114419,2024099,5521659,7545758,
No Home Movie,2,2016,None,115,Documentary,None,5,None,32757,None,32757,
Deep Sea,3,2006,None,41,Documentary Short,G,47,700213,46412757,51818148,98230905,
Be Here Now,4,2016,None,100,Biography Documentary Drama Family,None,11,13577,22424,None,22424,
Aferim!,1,2016,None,108,Adventure Comedy Drama History Western,None,8,15892,108110,242000,350110,
Term Life,4,2016,None,93,Action Crime Drama Thriller,R,50,13040,21256,222537,243793,
How to Let Go of the World: and Love All the Things Climate Can't Change,4,2016,None,127,Documentary,None,4,5800,36386,None,36386,
Lolo,3,2016,None,99,Comedy,None,8,4242,24134,7639664,7663798,
Space Station 3D,4,2002,None,47,Documentary,None,64,489488,93383953,34979928,128363881,
The Family Fang,4,2016,None,105,Comedy Drama Mystery,R,52,14506,262921,386634,649555,
Kill Me, Deadly,4,2016,None,100,Comedy History Mystery,None,3,11600,36027,None,36027,
The Congressman,4,2016,None,98,Drama,R,13,14260,71451,None,71451,
Revelation: Dawn of Global Government,4,2016,None,106,Documentary,PG,2,14975,19107,None,19107,
Janis: Little Girl Blue,11,2015,None,103,Biography Documentary Music,None,26,21861,410465,1272701,1683166,
Ktown Cowboys,3,2016,None,81,Comedy Drama,R,4,12523,18863,None,18863,
The Last Man on the Moon,2,2016,None,95,Adventure Biography Documentary History,None,14,30880,52482,1399,53881,
Chimes at Midnight,1,2016,None,119,Comedy Drama History War,None,4,13630,126724,None,126724,
Rio, I Love You,4,2016,None,110,Comedy Drama Fantasy Romance,R,15,None,31982,None,31982,
Youth,12,2015,None,124,Comedy Drama Music Romance,R,149,78085,2703296,20766244,23469540,
Galapagos,10,1999,None,39,Documentary Short,None,14,None,18630372,10718800,29349172,
Streit's: Matzo and the American Dream,4,2016,None,83,Documentary Family History,None,3,12065,17506,None,17506,
Theeb,11,2015,None,100,Adventure Drama Thriller,None,27,9181,283024,485425,768449,
Colonia,4,2016,None,110,Biography Drama History Romance Thriller,R,27,None,15709,3605337,3621046,
Ingrid Bergman: In Her Own Words,11,2015,None,114,Biography Documentary,None,13,8355,138148,75866,214014,
Neon Bull,4,2016,None,101,Drama,None,4,6413,26734,146485,173219,
1915,4,2015,None,82,Drama,None,10,30448,111682,None,111682,
Love Thy Nature,2,2015,None,76,Documentary,None,17,None,41149,11798,52947,
The Hill Chris Climbed: The Gridiron Heroes Story,4,2016,None,71,Biography Documentary Family Sport,None,5,None,23487,None,23487,
A Space Program,3,2016,None,72,Adventure Documentary Drama Sci-Fi,None,1,10247,13739,None,13739,
Journey to the South Pacific,11,2013,None,40,Documentary Short,G,19,8137,7653913,7340963,14994876,
Late Spring,3,2016,None,108,Drama,None,1,6456,13254,3703,16957,
The Adderall Diaries,4,2016,None,87,Crime Drama Mystery Thriller,R,31,5517,13191,2173,15364,
The Program,3,2016,None,99,Biography Drama Sport,R,18,5763,13074,3322539,3335613,
The Club,2,2016,None,98,Drama Mystery Thriller,None,14,6514,52761,488754,541515,
Finding Dory,6,2016,None,97,Adventure Animation Comedy Family,PG,4,305,135060273,486295561,542275328,1028570889,
Captain America: Civil War,5,2016,250000000,147,Action Sci-Fi,PG-13,4,226,179139142,408084349,745211944,1153296293,
The Secret Life of Pets,7,2016,75000000,86,Adventure Animation Comedy Family,PG,4,381,104352905,368623860,507073607,875697467,
Suicide Squad,8,2016,175000000,123,Action Adventure Fantasy Sci-Fi,PG-13,4,255,133682248,325100054,424100000,749200054,
Jason Bourne,7,2016,120000000,123,Action Thriller,PG-13,4,039,59215365,162434410,253050504,415484914,
X-Men: Apocalypse,5,2016,178000000,144,Action Adventure Sci-Fi,PG-13,4,153,65769562,155442489,388491616,543934105,
Star Trek Beyond,7,2016,185000000,122,Action Adventure Sci-Fi Thriller,PG-13,3,928,59253211,158848340,184623476,343471816,
Central Intelligence,6,2016,50000000,107,Action Comedy Crime,PG-13,3,508,35535250,127440871,89500000,216940871,
Ghostbusters,7,2016,144000000,117,Action Comedy Fantasy Sci-Fi,PG-13,3,963,46018755,128350574,100796935,229147509,
The Legend of Tarzan,7,2016,180000000,110,Action Adventure Drama Fantasy Romance,PG-13,3,591,38527856,126643061,230600000,357243061,
The Angry Birds Movie,5,2016,73000000,97,Action Adventure Animation Comedy Family,PG,3,932,38155177,107509366,244824563,352333929,
Bad Moms,7,2016,20000000,100,Comedy,R,3,215,23817340,113257297,70678777,183936074,
Independence Day: Resurgence,6,2016,165000000,120,Action Adventure Sci-Fi,PG-13,4,130,41039944,103144286,286537649,389681935,
The Conjuring 2,6,2016,40000000,134,Horror Mystery Thriller,R,3,356,40406314,102470008,218900000,321370008,
The Jungle Book,4,2016,175000000,106,Action Adventure Animation Drama Family Fantasy Musical,PG,4,144,103261464,364001123,602549477,966550600,
Sausage Party,8,2016,19000000,89,Adventure Animation Comedy Fantasy,R,3,135,34263534,97685686,43019636,140705322,
Teenage Mutant Ninja Turtles: Out of the Shadows,6,2016,135000000,112,Action Adventure Comedy Sci-Fi,PG-13,4,071,35316382,82051601,163572247,245623848,
The Purge: Election Year,7,2016,10000000,108,Action Horror Sci-Fi Thriller,R,2,821,31515110,79213375,39374505,118587880,
Alice Through the Looking Glass,5,2016,170000000,113,Adventure Family Fantasy Mystery,PG,3,763,26858726,77041381,222415643,299457024,
Lights Out,7,2016,4900000,81,Horror Mystery,PG-13,2,835,21688103,67268835,82100000,149368835,
Pete's Dragon,8,2016,65000000,102,Action Adventure Comedy Drama Family Fantasy,PG,3,702,21514095,76233151,67462187,143695338,
Now You See Me 2,6,2016,None,129,Action Adventure Comedy Crime Mystery Thriller,PG-13,3,232,22383146,65075540,269822066,334897606,
Ice Age: Collision Course,7,2016,105000000,94,Adventure Animation Comedy Family Sci-Fi,PG,3,997,21373064,64063008,344516030,408579038,
Me Before You,6,2016,20000000,110,Drama Romance,PG-13,2,762,18723269,56245075,152200000,208445075,
Neighbors 2: Sorority Rising,5,2016,None,92,Comedy,R,3,416,21760405,55455765,52551344,108007109,
Don't Breathe,8,2016,9900000,88,Crime Horror Thriller,R,3,384,26411706,89217875,68543127,157761002,
The Shallows,6,2016,17000000,86,Action Drama Horror Thriller,PG-13,2,962,16800868,55124043,63976715,119100758,
The BFG,7,2016,140000000,117,Adventure Family Fantasy,PG,3,392,18775350,55483770,139759641,195243411,
Warcraft,6,2016,160000000,123,Action Adventure Fantasy,PG-13,3,406,24166110,47365290,391683624,439048914,
Mike and Dave Need Wedding Dates,7,2016,33000000,98,Comedy Romance,R,3,008,16628170,46009673,31058573,77068246,
Money Monster,5,2016,27000000,98,Action Crime Drama Mystery Thriller,R,3,104,14788157,41012075,52270529,93282604,
Nerve,7,2016,19000000,96,Action Adventure Crime Drama Thriller,PG-13,2,538,9445456,38583626,46667799,85251425,
Kubo and the Two Strings,8,2016,60000000,101,Action Adventure Animation Family Fantasy,PG,3,279,12608372,48023088,28226350,76249438,
War Dogs,8,2016,None,114,Biography Comedy Crime Drama War,R,3,258,14685305,43034523,43400000,86434523,
The Nice Guys,5,2016,50000000,116,Action Comedy Crime Thriller,R,2,865,11203270,36261763,35000000,71261763,
Ben-Hur,8,2016,100000000,123,Action Adventure Drama Romance,PG-13,3,084,11203815,26410477,67650834,94061311,
Florence Foster Jenkins,8,2016,29000000,111,Biography Comedy Drama Music,PG-13,1,528,6601313,27383770,21519183,48902953,
Free State of Jones,6,2016,50000000,139,Action Biography Drama History War Western,R,2,815,7572206,20810036,4225914,25035950,
Mother's Day,4,2016,25000000,118,Comedy Drama Romance,PG-13,3,291,8369184,32492859,16289811,48782670,
Nine Lives,8,2016,30000000,87,Comedy Drama Family Fantasy,PG,2,264,6249915,19700032,38114413,57814445,
Zootopia,3,2016,None,108,Action Adventure Animation Comedy Family Sci-Fi,PG,3,959,75063401,341268248,682515947,1023784195,
Hell or High Water,8,2016,12000000,102,Crime Drama Thriller Western,R,1,505,621329,27007844,10872033,37879877,
Mechanic: Resurrection,8,2016,None,98,Action Adventure Crime Thriller,R,2,258,7456525,21218403,104511232,125729635,
The Infiltrator,7,2016,None,127,Biography Crime Drama Thriller,R,1,601,5303775,15436808,5574302,21011110,
Love & Friendship,5,2016,None,90,Comedy Drama Romance,PG,826,133513,14016568,7385381,21401949,
Hillary's America: The Secret History of the Democratic Party,7,2016,None,106,Biography Documentary History,PG-13,1,217,74814,13099931,None,13099931,
The Huntsman: Winter's War,4,2016,115000000,114,Action Adventure Drama Fantasy Romance Sci-Fi War,PG-13,3,802,19445035,48390190,116599148,164989338,
The Darkness,5,2016,None,92,Horror Thriller,PG-13,1,769,4950859,10753574,144719,10898293,
Café Society,7,2016,None,96,Comedy Drama Romance,PG-13,631,359289,11103205,32660042,43763247,
Popstar: Never Stop Never Stopping,6,2016,None,87,Comedy Drama Music Musical,R,2,313,4698715,9639125,40904,9680029,
The Lobster,5,2016,None,119,Drama Romance Sci-Fi Thriller,R,560,190252,8700374,251977,8952351,
Keanu,4,2016,15000000,100,Action Comedy Crime,R,2,681,9453224,20591853,158000,20749853,
Barbershop: The Next Cut,4,2016,None,111,Comedy Drama,PG-13,2,676,20242415,54030051,1600000,55630051,
The Light Between Oceans,9,2016,20000000,133,Drama Romance,PG-13,1,500,4765838,12545979,13429642,25975621,
The Boss,4,2016,29000000,99,Comedy,R,3,495,23586645,63285885,15558697,78844582,
Sultan,7,2016,13430000,170,Action Drama Romance Sport,None,283,2371100,6200000,81080000,87280000,
A Beautiful Planet,4,2016,None,46,Documentary,None,155,223983,15650615,10079505,25730120,
Southside with You,8,2016,None,84,Biography Drama History Romance,PG-13,897,2868403,6304223,324380,6628603,
Captain Fantastic,7,2016,None,118,Comedy Drama,R,550,93824,5879835,16907691,22787526,
Absolutely Fabulous: The Movie,7,2016,None,91,Comedy Crime,R,355,1861118,4772155,34446954,39219109,
Hunt for the Wilderpeople,6,2016,None,101,Adventure Comedy Drama,PG-13,200,78439,5205468,17630449,22835917,
No Manches Frida,9,2016,None,114,Comedy Romance,PG-13,465,3676235,11528613,12012324,23540937,
Swiss Army Man,6,2016,None,97,Comedy Drama Fantasy Romance,R,636,105453,4210454,725047,4935501,
Batman v Superman: Dawn of Justice,3,2016,250000000,151,Action Adventure Sci-Fi,PG-13,4,256,166007347,330360194,544000000,874360194,
Hands of Stone,8,2016,None,111,Biography Drama Sport,R,2,011,1751388,4712792,265561,4978353,
The Meddler,4,2016,None,103,Comedy Drama Romance,PG-13,464,57022,4267218,1027425,5294643,
Kabali,7,2016,None,153,Action Crime Drama,None,236,2157621,3903095,485694,4388789,
Batman: The Killing Joke,7,2016,None,76,Action Animation Crime Drama Thriller,R,1,325,None,3775000,687034,4462034,
The Man Who Knew Infinity,4,2016,None,108,Biography Drama,PG-13,288,80325,3866794,8385890,12252684,
Maggie's Plan,5,2016,None,98,Comedy Drama Romance,R,335,63308,3351735,2532156,5883891,
Ratchet & Clank,4,2016,None,94,Action Adventure Animation Comedy Family Fantasy Sci-Fi,PG,2,895,4869278,8821329,4564408,13385737,
Our Kind of Traitor,7,2016,None,108,Action Crime Drama Thriller,R,399,984698,3153157,7557870,10711027,
Indignation,7,2016,None,110,Drama Romance,R,317,93125,3401155,523372,3924527,
Anthropoid,8,2016,None,120,Action Drama History Romance Thriller War,R,452,1233519,2964845,2114374,5079219,
Sing Street,4,2016,None,106,Comedy Drama Music Romance,PG-13,525,63573,3237118,10387404,13624522,
Don't Think Twice,7,2016,None,92,Comedy Drama,R,175,92835,4417667,None,4417667,
Morgan,9,2016,8000000,92,Action Horror Sci-Fi Thriller,R,2,020,2012709,3915251,4894156,8809407,
A Aa,6,2016,None,152,Comedy Drama Romance,None,115,1213057,2313043,None,2313043,
My Big Fat Greek Wedding 2,3,2016,None,94,Comedy Romance,PG-13,3,179,17861950,59689605,30943036,90632641,
A Bigger Splash,5,2016,None,125,Drama Music Thriller,R,378,114419,2024099,5521659,7545758,
Eye in the Sky,3,2016,None,102,Action Drama Thriller War,R,1,089,113803,18704595,16555058,35259653,
Miracles from Heaven,3,2016,13000000,109,Biography Drama Family,PG,3,155,14812393,61705123,12277880,73983003,
Train to Busan,7,2016,None,118,Action Horror Thriller,None,36,284776,2129768,90612555,92742323,
Weiner,5,2016,None,96,Documentary,R,88,84173,1676108,39847,1715955,
WARx2,9,2015,None,117,Comedy,PG-13,16,30931,2310625,None,2310625,
Green Room,4,2016,None,95,Crime Drama Horror Music Thriller,R,777,87984,3220371,547031,3767402,
Kung Fu Panda 3,1,2016,145000000,95,Action Adventure Animation Comedy Family Fantasy,PG,3,987,41282042,143528619,377642206,521170825,
Hello, My Name Is Doris,3,2016,None,90,Comedy Drama Romance,R,979,84986,14444999,214449,14659448,
Genius,6,2016,None,104,Biography Drama,PG-13,152,98274,1361045,6073961,7435006,
Greater,8,2016,None,130,Biography Family Sport,PG,340,627974,2000093,None,2000093,
The Neon Demon,6,2016,None,117,Horror Thriller,R,783,589014,1333124,1740576,3073700,
Housefull 3,6,2016,None,140,Action Comedy Romance,None,145,683620,1326999,617263,1944262,
A Hologram for the King,4,2016,None,98,Comedy Drama Romance,R,523,1138578,4212494,4957013,9169507,
Mohenjo Daro,8,2016,None,155,Action Adventure Drama History,None,246,747791,1264339,365892,1630231,
The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,6,2016,None,96,Documentary Music,PG-13,82,24614,1176781,82807,1259588,
Deadpool,2,2016,58000000,108,Action Comedy,R,3,856,132434639,363070709,419541446,782612155,
Rustom,8,2016,None,148,Crime Drama Thriller,None,133,773662,1087419,571175,1658594,
Equity,7,2016,None,100,Drama,R,255,82434,1605463,66843,1672306,
The Innocents,7,2016,None,115,Drama History,PG-13,69,30896,1065665,6334636,7400301,
Battle for Incheon: Operation Chromite,8,2016,None,111,Action Drama History War,None,114,31662,1023348,1726570,2749918,
Vaxxed: From Cover-Up to Catastrophe,4,2016,None,91,Documentary,None,95,28339,1163265,None,1163265,
Dark Horse,5,2016,None,85,Documentary Drama Sport,PG,74,13838,940715,3346,944061,
Gentleman,6,2016,None,144,Mystery Romance Thriller,None,126,537490,897876,26008,923884,
The Insanity of God,8,2016,None,None,Documentary,None,531,None,1102525,None,1102525,
Dishoom,7,2016,None,124,Action Adventure Comedy,None,113,442299,812737,519185,1331922,
The Wailing,5,2016,None,156,Drama Horror Mystery Thriller,None,35,77892,786633,49065137,49851770,
Criminal,4,2016,None,113,Action Sci-Fi Thriller,R,2,683,5767278,14708696,24095297,38803993,
10 Cloverfield Lane,3,2016,None,103,Drama Horror Mystery Sci-Fi Thriller,PG-13,3,427,24727437,72082998,38134000,110216998,
31,8,2016,None,102,Horror Thriller,R,538,None,779820,70599,850419,
God's Not Dead 2,4,2016,None,120,Drama Fantasy,PG,2,419,7623662,20774575,3713273,24487848,
Dough,2,2016,None,94,Comedy Drama,None,55,50871,1148304,499125,1647429,
Range 15,6,2016,None,89,Action Comedy Horror,None,260,1044,621738,None,621738,
Tickled,6,2016,None,92,Crime Documentary Mystery,R,53,21898,613956,176563,790519,
Gleason,7,2016,None,110,Biography Documentary,R,148,91583,583664,None,583664,
Allegiant,3,2016,None,120,Action Adventure Mystery Sci-Fi Thriller,PG-13,3,740,29027348,66184051,113062817,179246868,
Compadres,4,2016,None,101,Action Comedy Crime,R,368,1397434,3127773,4225771,7353544,
Cold War 2,7,2016,None,110,Action Crime Drama,None,23,157385,560824,102636677,103197501,
London Has Fallen,3,2016,60000000,99,Action Thriller,R,3,492,21635601,62524260,143230187,205754447,
Willy Wonka & the Chocolate Factory,9,2016,None,100,Family Fantasy Musical,None,155,526633,526633,None,526954,
Miles Ahead,4,2016,None,100,Biography Drama Music Romance,R,527,114530,2610896,863062,3473958,
Wiener-Dog,6,2016,None,88,Comedy Drama,R,73,24311,477453,257276,734729,
Papa Hemingway in Cuba,4,2016,None,110,Biography Drama,R,325,475224,1115615,1784,1117399,
Lo and Behold: Reveries of the Connected World,8,2016,None,98,Documentary,PG-13,51,114273,594912,170884,765796,
Little Men,8,2016,None,85,Drama,PG,61,30368,702537,1306112,2008649,
A Tale of Love and Darkness,8,2016,None,95,Biography Drama History Mystery Romance War,PG-13,66,37170,572212,152673,724885,
Star Wars: Episode VII - The Force Awakens,12,2015,245000000,138,Action Adventure Sci-Fi,PG-13,4,134,247966675,936662225,1131561399,2068223624,
Our Little Sister,7,2016,None,127,Drama Family,PG,33,25118,467555,15343174,15810729,
High-Rise,5,2016,None,119,Drama Sci-Fi,R,41,79887,346472,3940104,4286576,
Eat That Question,6,2016,None,93,Biography Documentary Music,R,29,16695,355074,10466,365540,
Born to Be Wild,4,2011,None,40,Adventure Documentary Short,None,208,871478,25978556,15665919,41644475,
Te3n,6,2016,None,136,Crime Drama Mystery Thriller,None,104,258066,331507,60450,391957,
Tunnel,8,2016,None,126,Drama Thriller,None,36,172521,568876,51875419,52444295,
AmeriGeddon,5,2016,None,90,Action Adventure Drama Thriller War Western,PG-13,30,125571,316554,None,316554,
Happy Bhaag Jayegi,8,2016,None,126,Comedy Romance,None,78,159895,351840,74505,426345,
Kingsglaive: Final Fantasy XV,8,2016,None,110,Action Adventure Animation Drama Fantasy Sci-Fi,PG-13,26,119801,269980,5455502,5725482,
Minimalism: A Documentary About the Important Things,5,2016,None,78,Documentary,None,80,None,261865,None,261865,
Dheepan,5,2016,None,115,Crime Drama,R,26,20249,261819,5300756,5562575,
Everybody Wants Some!!,3,2016,None,117,Comedy,R,454,312355,3400278,1244194,4644472,
The Family Fang,4,2016,None,105,Comedy Drama Mystery,R,52,14506,262921,386634,649555,
Life, Animated,7,2016,None,92,Comedy Documentary Drama Family Fantasy Romance,PG,60,21883,255388,87276,342664,
Jimmy Vestvood: Amerikan Hero,5,2016,None,84,Comedy,None,6,60860,230069,60011,290080,
Kaptaan,5,2016,None,142,Comedy Drama Family Music,None,29,109993,203790,92925,296715,
Meet the Blacks,4,2016,None,94,Comedy Horror,R,1,015,4055940,9097072,None,9097072,
League of Gods,7,2016,None,109,Action Fantasy,PG-13,54,84779,181633,43317133,43498766,
Akira,9,2016,None,137,Action Thriller,None,71,136644,219401,3888662,4108063,
De Palma,6,2016,None,110,Biography Documentary,R,19,30355,165237,2808,168045,
Saturday's Warrior,4,2016,None,120,Musical,PG,28,96041,744046,None,744046,
Sunset Song,5,2016,None,135,Drama,R,19,12995,159714,1142768,1302482,
The Fits,6,2016,None,72,Drama Music,None,20,10602,166425,2811,169236,
The Witness,6,2016,None,89,Biography Crime Documentary Mystery,None,15,14523,159305,None,159305,
The Lady in the Van,12,2015,None,104,Biography Comedy Drama,PG-13,602,None,10021175,31366512,41387687,
The Kind Words,6,2016,None,118,Drama,None,8,8571,135382,None,135382,
Baaghi,4,2016,None,133,Action Romance Thriller,None,78,237215,438207,238395,676602,
Francofonia,4,2016,None,88,Drama History,None,25,22083,307040,701114,1008154,
Three,6,2016,None,88,Action Crime Thriller,None,23,58196,119550,15001678,15121228,
Viva,4,2016,None,100,Drama,R,17,48995,178008,245968,423976,
Zero Days,7,2016,None,116,Documentary,PG-13,20,49110,109649,None,109649,
The First Monday in May,4,2016,None,90,Documentary,PG-13,45,99242,527474,545469,1072943,
Mia madre,8,2016,None,106,Drama,R,35,34098,303002,7420654,7723656,
The 5th Wave,1,2016,38000000,112,Action Adventure Sci-Fi Thriller,PG-13,2,908,10326356,34916787,74989585,109906372,
Puerto Ricans in Paris,6,2016,None,82,Comedy Crime,R,41,26674,102890,None,102890,
Ride Along 2,1,2016,40000000,102,Action Comedy Crime,PG-13,3,192,35243095,91221830,33383467,124605297,
Midnight Special,3,2016,None,112,Drama Mystery Sci-Fi Thriller,PG-13,521,190012,3712282,3400000,7112282,
Seondal: The Man Who Sells the River,7,2016,None,120,Adventure Comedy History,None,7,36415,97477,14680505,14777982,
Never Gone,7,2016,None,100,Drama Romance,None,21,52134,96421,48884371,48980792,
Under the Sea 3D,2,2009,None,41,Documentary Short,None,108,661185,36262926,19639698,55902624,
Unsullied,4,2016,None,93,Action Horror Thriller,R,102,179112,510957,None,510957,
The Fight Within,8,2016,None,94,Action Romance Sport,PG-13,103,57124,94326,None,94326,
Eva Hesse,4,2016,None,108,Biography Documentary History,None,7,12780,157481,None,157481,
Hieronymus Bosch, Touched by the Devil,7,2016,None,86,Documentary,None,9,None,172533,29374,201907,
Miss Sharon Jones!,7,2016,None,93,Documentary Music,None,12,10323,120880,None,120880,
I Married an Anti-Fan,7,2016,None,120,Comedy Romance,None,22,58767,89408,12104675,12194083,
Remember the Goal,8,2016,None,88,Drama Sport,PG,77,70136,119100,None,119100,
The People Vs. Fritz Bauer,8,2016,None,105,Biography Drama Thriller,R,35,33781,288483,2795490,3083973,
